36169, EECO09, YES, 03EGTTH009, 2024-01-24 15:09:47, 126578, 2023, 0
33349, EECO09, YES, 03EGTTH009, 2024-01-24 15:09:47, 126579, 2023, 0
33350, EECO10, YES, 03EGTTH009, 2024-01-24 15:09:47, 126580, 2023, 1
36169, EECO10, YES, 03EGTTH009, 2024-01-24 15:09:47, 126581, 2023, 0
33349, EECO10, YES, 03EGTTH009, 2024-01-24 15:09:47, 126582, 2023, 0
33350, EECO11, YES, 03EGTTH009, 2024-01-24 15:09:47, 126583, 2023, 0
36169, EECO11, YES, 03EGTTH009, 2024-01-24 15:09:47, 126584, 2023, 1
33349, EECO11, YES, 03EGTTH009, 2024-01-24 15:09:47, 126585, 2023, 1
33350, EECO02, YES, 03EGTTH009, 2024-01-24 15:09:47, 126586, 2023, 0
36169, EECO02, YES, 03EGTTH009, 2024-01-24 15:09:47, 126587, 2023, 0
33349, EECO02, YES, 03EGTTH009, 2024-01-24 15:09:47, 126588, 2023, 0
33350, EECO04, YES, 03EGTTH009, 2024-01-24 15:09:47, 126589, 2023, 0
36169, EECO04, YES, 03EGTTH009, 2024-01-24 15:09:47, 126590, 2023, 0
33349, EECO04, YES, 03EGTTH009, 2024-01-24 15:09:47, 126591, 2023, 0
33350, EECO05, YES, 03EGTTH009, 2024-01-24 15:09:47, 126592, 2023, 0
36169, EECO05, YES, 03EGTTH009, 2024-01-24 15:09:47, 126593, 2023, 1
33349, EECO05, YES, 03EGTTH009, 2024-01-24 15:09:47, 126594, 2023, 0
34551, EECO10, YES, 03EFVBY291, 2024-01-24 15:08:26, 123260, 2023, 0
34569, EECO11, YES, 03EFVBY291, 2024-01-24 15:08:26, 123261, 2023, 1
34553, EECO11, YES, 03EFVBY291, 2024-01-24 15:08:26, 123262, 2023, 1
34552, EECO11, YES, 03EFVBY291, 2024-01-24 15:08:26, 123263, 2023, 1
34551, EECO11, YES, 03EFVBY291, 2024-01-24 15:08:26, 123264, 2023, 1
34569, EECO02, YES, 03EFVBY291, 2024-01-24 15:08:26, 123265, 2023, 0
34553, EECO02, YES, 03EFVBY291, 2024-01-24 15:08:26, 123266, 2023, 0
34552, EECO02, YES, 03EFVBY291, 2024-01-24 15:08:26, 123267, 2023, 0
34551, EECO02, YES, 03EFVBY291, 2024-01-24 15:08:26, 123268, 2023, 0
34569, EECO04, YES, 03EFVBY291, 2024-01-24 15:08:26, 123269, 2023, 0
34553, EECO04, YES, 03EFVBY291, 2024-01-24 15:08:26, 123270, 2023, 0
34552, EECO04, YES, 03EFVBY291, 2024-01-24 15:08:26, 123271, 2023, 0
34551, EECO04, YES, 03EFVBY291, 2024-01-24 15:08:26, 123272, 2023, 0
34569, EECO05, YES, 03EFVBY291, 2024-01-24 15:08:26, 123273, 2023, 0
34553, EECO05, YES, 03EFVBY291, 2024-01-24 15:08:26, 123274, 2023, 0
34552, EECO05, YES, 03EFVBY291, 2024-01-24 15:08:26, 123275, 2023, 0
